Date,Close,Open,High,Low
2021-02-10,44918.18359375,46469.76171875,47145.56640625,43881.15234375
2021-02-11,47909.33203125,44898.7109375,48463.46875,44187.76171875
2021-02-12,47504.8515625,47877.03515625,48745.734375,46424.9765625
2021-02-13,47105.515625,47491.203125,48047.74609375,46392.28125
2021-02-14,48717.2890625,47114.5078125,49487.640625,47114.5078125
2021-02-15,47945.05859375,48696.53515625,48875.5703125,46347.4765625
2021-02-16,49199.87109375,47944.45703125,50341.1015625,47201.3046875
2021-02-17,52149.0078125,49207.27734375,52533.9140625,49072.37890625
2021-02-18,51679.796875,52140.97265625,52474.10546875,51015.765625
2021-02-19,55888.1328125,51675.98046875,56113.65234375,50937.27734375
2021-02-20,56099.51953125,55887.3359375,57505.2265625,54626.55859375
2021-02-21,57539.9453125,56068.56640625,58330.5703125,55672.609375
2021-02-22,54207.3203125,57532.73828125,57533.390625,48967.56640625
2021-02-23,48824.42578125,54204.9296875,54204.9296875,45290.58984375
2021-02-24,49705.33203125,48835.0859375,51290.13671875,47213.5
2021-02-25,47093.8515625,49709.08203125,51948.96875,47093.8515625
2021-02-26,46339.76171875,47180.46484375,48370.78515625,44454.84375
2021-02-27,46188.453125,46344.7734375,48253.26953125,45269.02734375
2021-02-28,45137.76953125,46194.015625,46716.4296875,43241.6171875
2021-03-01,49631.2421875,45159.50390625,49784.015625,45115.09375
2021-03-02,48378.98828125,49612.10546875,50127.51171875,47228.84375
2021-03-03,50538.2421875,48415.81640625,52535.13671875,48274.3203125
2021-03-04,48561.16796875,50522.3046875,51735.08984375,47656.9296875
2021-03-05,48927.3046875,48527.03125,49396.4296875,46542.515625
2021-03-06,48912.3828125,48899.23046875,49147.21875,47257.52734375
2021-03-07,51206.69140625,48918.6796875,51384.3671875,48918.6796875
2021-03-08,52246.5234375,51174.1171875,52314.0703125,49506.0546875
2021-03-09,54824.1171875,52272.96875,54824.1171875,51981.83203125
2021-03-10,56008.55078125,54824.01171875,57258.25390625,53290.890625
2021-03-11,57805.12109375,55963.1796875,58091.0625,54484.59375
2021-03-12,57332.08984375,57821.21875,57996.62109375,55376.6484375
2021-03-13,61243.0859375,57343.37109375,61683.86328125,56217.97265625
2021-03-14,59302.31640625,61221.1328125,61597.91796875,59302.31640625
2021-03-15,55907.19921875,59267.4296875,60540.9921875,55393.1640625
2021-03-16,56804.90234375,55840.78515625,56833.1796875,53555.02734375
2021-03-17,58870.89453125,56825.828125,58969.81640625,54528.62890625
2021-03-18,57858.921875,58893.078125,60116.25,54253.578125
2021-03-19,58346.65234375,57850.44140625,59498.375,56643.703125
2021-03-20,58313.64453125,58332.26171875,60031.28515625,58213.296875
2021-03-21,57523.421875,58309.9140625,58767.8984375,56005.6171875
2021-03-22,54529.14453125,57517.890625,58471.48046875,54288.15625
2021-03-23,54738.9453125,54511.66015625,55985.44140625,53470.6953125
2021-03-24,52774.265625,54710.48828125,57262.3828125,52514.33203125
2021-03-25,51704.16015625,52726.74609375,53392.38671875,50856.5703125
2021-03-26,55137.3125,51683.01171875,55137.3125,51579.85546875
2021-03-27,55973.51171875,55137.56640625,56568.21484375,54242.91015625
2021-03-28,55950.74609375,55974.94140625,56610.3125,55071.11328125
2021-03-29,57750.19921875,55947.8984375,58342.09765625,55139.33984375
