,actual,predicted
0,50270.65917138817,35667.45080629729
1,11143.482062419538,37052.485236943074
2,37137.26542263455,9450.466277059197
3,46122.25671169095,37137.26542263455
4,41376.53795083106,8502.872727537626
5,10618.78922429396,8877.478923333903
6,9361.766671990532,41376.53795083106
7,9473.097157892484,36300.178289215495
8,52269.17943167728,23214.15524119377
9,11521.474038181626,11106.448393020888
10,10477.98051282901,9918.308668278332
11,8768.207593849425,13857.305812584957
12,9297.472918698415,8768.207593849425
13,43680.28543042885,11521.474038181626
14,38257.13416697142,11521.474038181626
15,41998.55809303354,36271.43935803147
16,9813.73877968526,34999.610766696875
17,37140.477700322386,65679.2323376171
18,13193.105382499667,9158.664280427567
19,58059.3668291919,57590.66698967121
20,49446.3657713349,11143.482062419538
21,7280.713889513614,33927.014719959574
22,7834.659837114485,44538.913290024146
23,7249.116773909225,23214.15524119377
24,55727.14234402133,7096.769168389135
25,8688.23595332236,32233.323520023998
26,62367.7365908199,13193.105382499667
27,34286.877959058664,11921.435165126077
28,6741.639521756586,12042.551403577489
29,11756.03890038992,13193.105382499667
30,9660.699543261937,59819.489300716916
31,33215.532279721694,37459.945753342996
32,49667.40788303717,37137.26542263455
33,7136.866820177091,8688.23595332236
34,10136.675198694671,11737.2696996757
35,5299.031373045126,48345.164031386754
36,51687.41915252319,6981.4984335982535
37,9304.209634855612,38799.14413659884
38,59650.981718517825,32233.323520023998
39,6453.730467130812,44854.098876158474
40,56910.423051443955,48353.35327354804
41,6392.260614137999,59302.774790458476
42,49302.11035728161,10707.866305481039
43,13954.143509565543,19212.093134144234
44,32544.07146758279,18698.793742437676
45,58069.44655294002,33554.32511594699
46,9653.88083479916,11808.524486346658
47,8947.149473088779,8191.190379219912
48,46394.84451020436,47985.52932911976
49,9626.813117169007,41738.55181980257
50,39118.005410635335,8742.32932384031
51,46298.161035827594,9119.978123092686
52,6863.691326070682,58059.3668291919
53,35889.24238279254,6883.834422353539
54,6432.600127808994,46476.15343467617
55,40063.48703505826,62367.7365908199
56,8605.8211477335,11737.2696996757
57,11109.060974396569,6207.883886290698
58,10326.05606534501,44854.098876158474
59,6936.131319903626,49302.11035728161
60,11808.524486346658,6951.667509192047
61,11566.461468872394,7182.969388967413
62,46522.43761780427,11756.03890038992
63,33939.22745103613,48963.09099348943
64,11558.66036958179,7357.830943635317
65,9930.674040369962,28859.092278572767
66,12276.763837825973,6920.37356571389
67,57761.48478796081,37105.80620911773
68,11393.892124892194,18607.088605615507
69,9432.939982346245,8152.628136616644
70,50641.53434345941,37515.93202145539
71,8878.250838907781,59109.34502997121
72,9191.381173331818,13756.023086013043
73,42855.92039357922,9891.869423234371
74,10615.366820136205,13621.852526938692
75,47892.7518859006,9127.66568892195
76,38189.57247297147,9904.575810243983
77,11446.890205542277,32233.323520023998
78,13159.547308553576,11094.555870764645
79,18537.121375319904,8688.23595332236
80,9450.466277059197,7136.866820177091
81,34459.348630596105,11539.563164638952
82,6920.37356571389,48963.09099348943
83,13756.023086013043,45940.98277942852
84,54981.23329004296,58224.729128574065
85,34905.1326081241,59551.14124724557
86,17786.95293973053,19212.093134144234
87,10025.288821096809,7371.189378632431
88,34821.31080247099,8688.23595332236
89,61932.514071355414,15563.953737987187
