1.074100000000000000e+04,1.069200000000000000e+04,1.077700000000000000e+04,1.065700000000000000e+04,1.034000000000000000e+03,4.510000000000000000e+02,1.600000000000000000e+01
9.131000000000000000e+03,8.877000000000000000e+03,9.176000000000000000e+03,8.874000000000000000e+03,9.330000000000000000e+02,5.530000000000000000e+02,1.800000000000000000e+01
1.165700000000000000e+04,1.148300000000000000e+04,1.169400000000000000e+04,1.147600000000000000e+04,1.273000000000000000e+03,4.840000000000000000e+02,2.100000000000000000e+01
7.277000000000000000e+03,7.065000000000000000e+03,7.301000000000000000e+03,7.029000000000000000e+03,9.190000000000000000e+02,5.240000000000000000e+02,2.000000000000000000e+01
8.925000000000000000e+03,9.126000000000000000e+03,9.204000000000000000e+03,8.858000000000000000e+03,1.293000000000000000e+03,5.580000000000000000e+02,3.200000000000000000e+01
1.759300000000000000e+04,1.671800000000000000e+04,1.783100000000000000e+04,1.656000000000000000e+04,5.131000000000000000e+03,1.246000000000000000e+03,3.700000000000000000e+01
9.516000000000000000e+03,1.026800000000000000e+04,1.029200000000000000e+04,9.298000000000000000e+03,1.175000000000000000e+03,6.410000000000000000e+02,2.200000000000000000e+01
1.175200000000000000e+04,1.157100000000000000e+04,1.179500000000000000e+04,1.128700000000000000e+04,1.463000000000000000e+03,5.420000000000000000e+02,2.300000000000000000e+01
6.855000000000000000e+03,6.772000000000000000e+03,7.003000000000000000e+03,6.664000000000000000e+03,8.520000000000000000e+02,4.560000000000000000e+02,2.100000000000000000e+01
1.130200000000000000e+04,1.146700000000000000e+04,1.159400000000000000e+04,1.115700000000000000e+04,1.292000000000000000e+03,4.740000000000000000e+02,1.900000000000000000e+01
6.856000000000000000e+03,7.185000000000000000e+03,7.221000000000000000e+03,6.764000000000000000e+03,1.284000000000000000e+03,6.210000000000000000e+02,2.000000000000000000e+01
1.910700000000000000e+04,1.937300000000000000e+04,1.943300000000000000e+04,1.893100000000000000e+04,2.206000000000000000e+03,9.430000000000000000e+02,2.800000000000000000e+01
8.881000000000000000e+03,8.562000000000000000e+03,8.982000000000000000e+03,8.554000000000000000e+03,9.830000000000000000e+02,5.400000000000000000e+02,1.800000000000000000e+01
7.291000000000000000e+03,6.955000000000000000e+03,7.390000000000000000e+03,6.852000000000000000e+03,6.390000000000000000e+02,4.900000000000000000e+02,1.400000000000000000e+01
9.457000000000000000e+03,9.510000000000000000e+03,9.557000000000000000e+03,9.240000000000000000e+03,1.089000000000000000e+03,5.950000000000000000e+02,1.800000000000000000e+01
9.617000000000000000e+03,9.917000000000000000e+03,9.957000000000000000e+03,9.546000000000000000e+03,2.651000000000000000e+03,5.870000000000000000e+02,3.300000000000000000e+01
